origin,destination
20,16
34,22
25,34
67,22
14,97
97,14
1,83
89,1
94,1
43,82
58,54
12,14
38,94
75,1
54,73
29,19
34,18
33,43
71,1
15,4
49,18
22,80
1,50
1,7
47,12
1,27
68,63
11,23
46,38
93,61
27,89
47,1
50,15
14,38
63,47
8,20
9,11
38,16
17,1
60,64
27,13
93,13
7,13
35,46
24,63
7,12
3,21
29,90
82,12
27,68
15,37
19,13
18,42
42,18
16,45
27,14
24,30
27,15
32,15
9,46
5,37
6,47
57,11
5,1
23,19
40,19
16,6
17,23
23,17
11,17
17,18
12,17
16,20
5,56
56,5
14,80
66,91
53,16
26,45
45,26
57,4
84,41
12,24
7,27
69,48
48,69
71,50
84,23
24,17
46,50
31,48
48,31
67,34
55,18
76,31
53,42
42,16
5,23
23,5
9,78
84,5
27,42
46,71
71,46
55,12
32,10
10,32
26,13
53,7
12,86
31,69
69,31
25,12
46,4
7,20
4,46
25,17
94,58
14,17
17,14
30,26
3,26
7,16
6,56
56,6
71,51
76,48
48,76
49,19
16,27
27,16
83,63
30,13
43,81
8,1
50,19
19,50
28,50
50,28
5,6
19,57
30,45
6,9
63,33
1,58
49,67
46,47
76,69
50,4
4,50
91,55
70,78
78,70
33,28
54,53
55,25
25,55
4,71
96,30
91,19
57,15
94,71
13,37
19,71
50,33
5,39
39,5
33,50
50,94
50,57
57,50
23,99
99,70
77,71
56,9
9,56
71,77
50,8
5,11
11,5
61,33
33,61
14,91
92,21
9,70
37,63
33,81
81,61
1,38
25,8
56,11
25,14
5,9
9,5
50,1
46,63
50,34
36,56
64,5
21,2
15,43
94,46
50,63
63,50
7,1
49,55
27,1
28,4
56,78
4,28
50,66
14,34
50,67
67,50
11,84
30,63
13,81
25,50
50,25
46,1
15,33
33,15
7,94
67,19
50,91
30,43
43,30
91,50
33,68
20,58
28,37
37,28
58,25
46,96
33,1
58,71
58,16
16,58
71,43
70,45
45,70
50,24
24,50
27,8
19,17
17,19
96,45
51,63
49,1
19,15
15,19
50,43
77,43
43,50
40,32
32,11
30,70
70,30
14,47
70,68
68,70
50,12
12,50
29,34
18,50
24,46
50,17
17,50
5,21
21,5
29,1
1,19
1,16
19,1
16,1
99,2
15,50
1,4
4,1
17,94
28,27
50,61
61,50
71,37
9,39
39,9
50,86
63,45
60,56
14,19
94,16
16,94
46,12
50,81
81,50
49,63
13,28
55,50
50,55
99,40
81,70
33,66
16,37
37,16
2,15
71,68
13,1
37,43
10,21
21,10
1,43
47,43
43,47
28,15
50,37
37,50
43,45
45,43
58,96
70,5
5,70
12,4
7,71
4,12
67,27
71,30
96,47
1,3
3,1
72,11
17,4
4,17
12,1
12,28
14,50
50,14
50,68
50,7
7,50
1,17
28,17
50,27
27,50
2,26
35,89
25,7
13,27
13,71
26,78
3,4
4,3
71,35
28,16
50,3
3,50
2,56
56,2
45,28
16,67
46,7
68,9
70,43
5,32
43,70
42,71
94,13
56,32
32,56
61,21
25,27
94,35
35,94
2,23
63,16
16,63
5,2
10,6
50,13
13,50
27,49
50,42
2,4
60,40
1,15
15,1
51,30
30,51
46,26
25,20
4,13
26,27
8,3
45,71
71,45
7,17
5,72
1,14
14,1
25,16
16,25
50,16
16,50
53,24
5,10
10,5
23,92
10,56
20,35
26,50
50,26
13,16
16,13
70,82
45,27
26,4
4,26
46,45
2,32
15,21
21,15
51,35
17,27
7,4
4,7
13,9
32,9
9,13
9,32
4,27
27,4
16,24
35,9
50,45
1,97
17,15
15,17
43,99
37,15
16,44
44,16
20,44
44,20
55,15
6,30
16,33
50,2
2,50
12,16
16,12
17,16
16,17
24,37
57,45
26,16
16,26
30,20
20,30
55,27
27,55
4,42
7,14
23,45
45,23
12,61
37,12
81,16
21,100
60,71
29,16
16,29
4,20
34,13
26,56
56,26
14,53
16,4
4,16
45,19
25,13
3,5
13,25
5,3
44,27
27,44
43,20
21,57
63,9
70,57
15,27
13,56
26,25
25,26
51,60
3,17
15,10
10,15
12,13
17,13
15,32
51,70
70,51
38,44
59,10
10,59
50,21
21,50
19,70
40,30
40,45
11,30
19,21
11,43
41,15
21,51
70,58
59,32
32,59
33,56
1,44
33,23
77,99
50,9
9,50
6,28
1,21
21,1
2,12
63,5
13,11
11,13
3,10
6,50
56,4
4,10
4,32
32,4
5,4
4,5
51,72
28,5
32,13
5,71
71,5
4,11
11,4
63,44
44,63
50,23
23,50
50,5
5,50
1,5
50,10
10,50
21,12
28,10
19,5
5,19
40,71
17,21
13,44
59,11
11,59
50,11
11,50
94,5
27,56
9,12
75,52
1,32
1,10
10,1
5,7
7,5
5,42
42,5
23,16
25,56
5,16
16,5
59,5
5,59
32,25
11,27
27,11
31,11
11,31
24,5
31,40
40,31
58,10
11,34
39,7
17,10
10,17
12,5
55,32
17,5
5,17
69,5
5,69
17,36
31,5
5,31
12,11
23,14
31,56
31,32
31,10
10,31
14,11
16,10
10,16
59,31
48,9
59,4
4,59
59,19
59,3
3,59
59,50
59,28
59,13
13,59
59,34
34,59
59,12
12,59
59,17
17,59
59,1
1,59
3,31
31,3
13,31
59,16
31,63
31,4
4,31
12,31
31,12
17,31
84,39
39,84
11,9
92,11
26,21
29,46
19,49
46,19
49,24
47,29
40,41
81,26
35,81
24,57
40,92
6,23
21,6
5,36
52,5
5,52
6,52
8,65
17,87
92,32
52,40
40,52
83,54
37,1
35,5
14,68
52,83
54,52
52,6
79,39
45,9
84,21
81,43
34,25
41,52
55,14
14,55
34,65
20,73
73,20
20,7
28,63
45,30
33,29
25,87
53,54
34,51
24,38
38,71
58,28
52,21
38,73
54,96
26,28
36,93
46,20
30,64
52,98
98,52
20,27
66,55
8,34
52,11
66,67
34,14
64,41
74,16
28,3
3,28
8,80
65,53
41,2
54,3
21,3
26,23
23,26
23,30
52,29
29,52
16,78
23,8
5,53
53,5
91,11
27,73
80,14
29,57
28,89
89,28
27,53
12,87
20,90
41,6
24,49
34,91
86,25
25,86
87,97
35,37
34,86
14,25
39,23
8,27
28,34
34,28
8,33
63,54
30,60
21,79
90,28
57,25
28,26
32,6
30,29
50,53
34,15
66,27
61,6
30,67
3,41
52,45
16,77
30,41
26,79
90,44
44,90
35,84
6,15
26,40
40,26
40,15
14,26
78,25
52,8
8,52
58,41
34,84
52,34
39,34
34,40
40,34
87,86
14,18
18,14
91,24
87,25
66,24
29,82
54,38
60,26
58,37
19,61
64,60
8,35
75,45
30,5
37,21
34,44
44,34
20,5
69,11
94,28
66,18
51,66
11,52
38,24
67,58
30,28
78,68
51,42
24,16
87,12
27,20
18,91
24,91
66,25
68,35
93,30
23,70
18,28
37,38
30,23
30,11
34,49
49,34
91,18
66,51
58,27
27,58
39,6
78,41
3,33
28,93
6,61
15,14
28,41
41,28
59,9
6,5
29,28
39,32
6,32
7,81
87,18
86,24
18,66
32,40
84,32
81,7
52,69
69,52
40,39
41,5
53,20
57,29
31,76
90,85
84,52
54,85
85,54
54,7
26,35
28,71
73,53
64,40
54,90
54,58
23,6
84,9
66,34
52,39
98,23
20,54
54,20
8,28
8,54
54,8
71,8
40,5
84,78
58,65
65,58
6,21
41,40
6,39
6,36
84,11
33,47
14,49
66,8
8,29
28,68
54,25
33,34
8,14
35,54
54,35
37,82
82,34
49,20
29,53
54,44
44,54
6,96
39,35
41,66
